"Data Source","World Development Indicators",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Food production index (2014-2016 = 100)","AG.PRD.FOOD.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Food production index (2014-2016 = 100)","AG.PRD.FOOD.XD","","12.758164543167","12.9870766412332","13.6980661077976","13.1913442033949","13.2399298089596","13.3998191973411","15.3010688238585","14.1197742362963","15.4820783817179","16.1696822523569","16.6322300448413","16.9839919677655","17.354501006857","19.0550918077241","19.5099581794735","20.0373885166459","21.3711034510865","21.7803154014068","21.440774521972","22.7095310053939","25.556833710682","22.4029310485026","23.2529441388147","20.6801945894379","24.8900139429509","24.3496403966831","22.374346199247","26.3678506047472","22.5947861632286","22.0804954255825","26.8489347221543","29.8829405814328","50.7798791447999","59.732968019377","61.0895946373028","66.9234827657798","68.5073127346625","73.4282403348126","74.9401643196742","78.7152091032268","87.2693435962454","89.5214545772301","98.4565528620995","96.9656139536555","100.638148540127","101.931360553513","101.006003497178","101.806054006015","104.031897478838","99.6289399688047","106.611457513635","100","100","100","100","100","100","100","100","100","","","","",
"Afghanistan","AFG","Food production index (2014-2016 = 100)","AG.PRD.FOOD.XD","","41","41.34","41.16","44.6","46.7","48.42","53.06","55.39","56.07","51.34","48.16","51.38","55.23","56.89","58.51","63.13","56.67","60.93","60.2","60.54","60.41","59.82","58.27","55.89","52.14","47.74","49.45","48.87","48.64","52.36","60.09","58.24","61.48","64.99","67.87","71.42","76.45","80.61","79.69","67.78","61.59","74.72","76.77","74.75","83.54","77.31","84.65","79.59","92.24","91.68","87.4","97.18","94.63","101.99","95.97","102.04","99.84","96.19","109.41","112.3","114.32","111.43","","",
"Africa Western and Central","AFW","Food production index (2014-2016 = 100)","AG.PRD.FOOD.XD","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","","","",
"Angola","AGO","Food production index (2014-2016 = 100)","AG.PRD.FOOD.XD","","18.74","19.76","19.51","21.15","21.86","22.77","23.51","22.3","23.72","24.17","25.06","24.52","24.86","24.8","23.14","18.81","18.4","17.69","16.64","17.72","16.64","16.78","16.9","17.2","17.38","18.1","18.12","18.11","18.08","18","18.86","20.24","20.32","22.91","22.38","24.17","24.39","28.38","27.58","32.16","36.9","41.72","45.12","48.23","52.4","53.64","60.96","64.82","80.89","85.77","93.77","78.69","105.73","94.42","100.7","104.88","105.13","107.35","110.28","114.88","117.5","124.09","","",
"Albania","ALB","Food production index (2014-2016 = 100)","AG.PRD.FOOD.XD","","21.19","21.78","20.56","23.2","22.07","25.28","27.09","27.81","28.14","28.88","29.95","30.45","32.63","33.57","34.17","37.81","39.5","41.23","41.96","41.13","42.77","44.14","48.08","44.62","44","43.73","45.24","43.89","49","48.13","41.33","45.58","51.13","56.84","61.13","61.62","58.36","60.91","60.3","63.53","65.39","65.88","69.05","72.33","71.11","73.85","74.88","77.15","79.91","85.68","89.92","95.06","95.64","96.84","100.07","103.09","103.88","106.02","104","105.72","104.92","105.4","","",
"Andorra","AND","Food production index (2014-2016 = 100)","AG.PRD.FOOD.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Food production index (2014-2016 = 100)","AG.PRD.FOOD.XD","","23.1432381845915","23.5705526152636","24.8651496526005","23.9388392645387","24.0332321037948","24.29647603891","27.7453851592963","25.6125736508175","28.0753288227858","29.3114863748095","30.1597914477274","30.7895624337965","31.466345375377","34.5647688370635","35.3993661581499","36.3565566315419","38.7713450893364","39.5243169742918","38.9160189895563","41.2417119447603","46.4114037373264","40.6744692730532","42.2319767567599","37.5495808919545","45.2271630709348","44.245790733948","40.6434516677455","47.916490812426","41.0309013065494","40.1155555050914","48.7994759213616","54.3545137565209","50.7586849173244","59.7266889975566","61.0910227310875","66.943911928221","68.5066934591118","73.4438701971472","74.9469947960855","78.7199468244303","87.269609497186","89.5244674706388","98.4574976226146","96.9669005245431","100.637942328357","101.930177082955","101.005978539264","101.805757307255","104.031306710513","99.6285870343506","106.616605417127","100","100","100","100","100","100","100","100","100","","","","",
"United Arab Emirates","ARE","Food production index (2014-2016 = 100)","AG.PRD.FOOD.XD","","4.59","4.66","4.81","5","5.11","5.26","5.4","5.63","5.96","6.38","6.71","6.53","7.37","8.44","8.28","7.44","9.09","11.84","13.49","15.81","17.41","21.86","25.05","23.73","24.66","25.95","25.95","33.09","36.4","38.12","44.6","55.48","58.86","63.03","71.71","77.98","93.88","95.72","144.81","185.23","122.1","119.93","111.31","119.83","121.7","111.88","111.48","120.88","119.04","129.7","75.57","77.32","78.77","94.36","98.36","107.28","107.31","111.15","120.4","124.53","126.83","124.86","","",
"Argentina","ARG","Food production index (2014-2016 = 100)","AG.PRD.FOOD.XD","","31.25","32.96","35.9","33.5","31.92","35.32","38.58","36.64","39.45","38.77","36.35","35.93","37.46","39.59","40.54","44.76","44.69","47.93","48.29","44.54","47.96","48.88","47.68","48.95","49.84","51.12","48.48","49.33","45.86","50.98","52.87","53.03","53.09","55.66","58.99","57.09","61.91","66.67","68.32","69.14","69.29","68.91","71.49","73.94","83","82.05","89.82","91.03","76.08","88.2","92.78","86.64","94.03","95.14","103.91","100.95","105.91","97.51","112.42","108.57","108.4","109.39","","",
